TIME,year,month,T,R_HF_index1,R_HF_index2,R_HF_index3,R_HF_index4,R_HF_index5,R_HF_index6,R_HF_index7,R_HF_index8,R_HF_index9,R_HF_index10,R_HF_index11,R_HF_index12,R_HF_index13,R_HF_index14,R_HF_index15,R_HF_index16,R_HF_index17,R_HF_index18,R_HF_index19,R_HF_index20,R_HF_index21,R_HF_index22,R_HF_index23,R_HF_index24,R_HF_index25,R_HF_index26,R_HF_index27,R_HF_index28,R_HF_index29,R_HF_index30,R_HF_index31,R_HF_index32,R_HF_index33,R_HF_index34,R_HF_index35,R_HF_index36,R_HF_index37,R_HF_index38,R_HF_index39,R_HF_index40,R_HF_index41,R_HF_index42,R_HF_index43,R_HF_index44,R_HF_index45,R_HF_index46,R_HF_index47,R_HF_index48,R_HF_index49,R_HF_index50,R_HF_index51,R_HF_index52,R_HF_index53,R_HF_index54,R_HF_index55,eR_HF_index1,eR_HF_index2,eR_HF_index3,eR_HF_index4,eR_HF_index5,eR_HF_index6,eR_HF_index7,eR_HF_index8,eR_HF_index9,eR_HF_index10,eR_HF_index11,eR_HF_index12,eR_HF_index13,eR_HF_index14,eR_HF_index15,eR_HF_index16,eR_HF_index17,eR_HF_index18,eR_HF_index19,eR_HF_index20,eR_HF_index21,eR_HF_index22,eR_HF_index23,eR_HF_index24,eR_HF_index25,eR_HF_index26,eR_HF_index27,eR_HF_index28,eR_HF_index29,eR_HF_index30,eR_HF_index31,eR_HF_index32,eR_HF_index33,eR_HF_index34,eR_HF_index35,eR_HF_index36,eR_HF_index37,eR_HF_index38,eR_HF_index39,eR_HF_index40,eR_HF_index41,eR_HF_index42,eR_HF_index43,eR_HF_index44,eR_HF_index45,eR_HF_index46,eR_HF_index47,eR_HF_index48,eR_HF_index49,eR_HF_index50,eR_HF_index51,eR_HF_index52,eR_HF_index53,eR_HF_index54,eR_HF_index55
1991m1,1991,1,1991,,,,,.0198026,.0001,,,.0247902,,,,.0479327,,.0604364,-.0405095,.0240095,.028879,,,,-.0056157,,,.0478373,.0099503,.010841,-.0009004,.0090093,.0187236,.0038924,.0255703,.0263274,,.0294957,.0254319,,-.0025031,,,,,,.0179381,,.0255703,,.0043903,.027907,,.052023,,,,,,,,,.0146161,-.0050865,,,.0196036,,,,.0427461,,.0552498,-.0456961,.0188229,.0236924,,,,-.0108023,,,.0426508,.0047638,.0056545,-.0060869,.0038228,.0135371,-.0012941,.0203837,.0211408,,.0243092,.0202453,,-.0076897,,,,,,.0127516,,.0203837,,-.0007962,.0227204,,.0468365,,,,
1991m2,1991,2,1991,,,,,.040566,.0157749,,,.0003999,,,,.0890177,,.0420053,-.1772146,.0787188,.0869114,,,,.0281987,,,.0506931,.043251,.0111377,.0017984,-.0187752,-.0083346,-.0003,.039413,.0425459,,.0459022,.0406658,,.0611892,,,,,,.040566,,.0305292,,.0159718,.0911196,,.0393169,,,,,,,,,.0357774,.0109864,,,-.0043886,,,,.0842292,,.0372168,-.1820031,.0739302,.0821229,,,,.0234101,,,.0459046,.0384625,.0063492,-.0029901,-.0235637,-.0131232,-.0050886,.0346245,.0377574,,.0411137,.0358773,,.0564006,,,,,,.0357774,,.0257407,,.0111833,.0863311,,.0345283,,,,
1991m3,1991,3,1991,,,,,.0661622,.0227395,,,.0266419,,,,.0914847,,.0007997,-.0221434,.040758,.0352706,,,,.0729716,,,.0697126,.0331446,.0241071,.0396053,.0161686,.0307232,.0345946,.0483139,.0535739,,.0579943,.0523315,,.0662558,,,,,,.0187236,,.0262524,,.0138043,.0527822,,.0212721,,,,,,,,,.0617719,.0183491,,,.0222516,,,,.0870943,,-.0035907,-.0265337,.0363676,.0308803,,,,.0685813,,,.0653223,.0287542,.0197167,.0352149,.0117782,.0263328,.0302043,.0439235,.0491836,,.053604,.0479412,,.0618654,,,,,,.0143333,,.021862,,.0094139,.0483918,,.0168818,,,,
1991m4,1991,4,1991,,,,,.0519281,.027907,,,-.0001,,,,.0027961,,-.0125788,-.007629,.0192142,.013607,,,,.052023,,,.004689,.0301412,-.0093435,-.0044097,-.0080826,-.0219389,-.0083346,.013311,.0149556,,.0181365,.0148581,,-.0169427,,,,,,.0045895,,.0178399,,.0147901,.0316924,,.0146915,,,,,,,,,.0466421,.0226209,,,-.005386,,,,-.0024899,,-.0178648,-.012915,.0139282,.008321,,,,.046737,,,-.000597,.0248552,-.0146295,-.0096957,-.0133686,-.0272249,-.0136206,.008025,.0096696,,.0128505,.0095721,,-.0222287,,,,,,-.0006966,,.0125539,,.0095041,.0264064,,.0094055,,,,
1991m5,1991,5,1991,,,,,.0135084,.0153811,,,-.0002,,,,.0445909,,.0204887,-.0462534,.0247902,.0273233,,,,.0090588,,,.0314987,.0281014,.006479,.0079682,-.002453,.0166929,.0076705,.0196065,.0223523,,.0247619,.0217889,,.0001,,,,,,.0189199,,.0069756,,.0093561,.0031949,,.0119286,,,,,,,,,.0088194,.0106921,,,-.004889,,,,.0399019,,.0157997,-.0509424,.0201012,.0226343,,,,.0043699,,,.0268097,.0234124,.00179,.0032792,-.007142,.0120039,.0029815,.0149175,.0176633,,.0200729,.0170999,,-.004589,,,,,,.0142309,,.0022866,,.0046671,-.0014941,,.0072396,,,,
1991m6,1991,6,1991,,,,,.0170538,.0111377,,,.0055844,,,,-.025523,,-.0449974,.0836976,-.011769,-.0196926,,,,.0079682,,,.0058827,.0023971,-.0060181,.0111377,.0098018,.0248877,.0117309,.0040916,.0062067,,.0094997,.005995,,.0258627,,,,,,-.0129839,,-.0045102,,.0097523,.0239118,,.0103463,,,,,,,,,.0128626,.0069465,,,.0013932,,,,-.0297142,,-.0491886,.0795064,-.0159602,-.0238838,,,,.003777,,,.0016915,-.0017941,-.0102093,.0069465,.0056106,.0206965,.0075397,-.0000996,.0020155,,.0053085,.0018038,,.0216715,,,,,,-.0171751,,-.0087014,,.0055611,.0197206,,.0061551,,,,
1991m7,1991,7,1991,,,,,.0313049,.0142973,,,.0246926,,,,.0471698,,.0156765,-.0066219,.052877,.039413,,,,.090937,,,.0140015,.0230327,.0121262,.0070749,-.0136173,.0154796,.005087,.0258627,.0269496,,.029249,.0272377,,.0240095,,,,,,.029753,,.0142973,,.015578,.0340149,,.0267393,,,,,,,,,.0264168,.0094093,,,.0198046,,,,.0422818,,.0107884,-.0115099,.047989,.034525,,,,.086049,,,.0091135,.0181447,.0072381,.0021869,-.0185053,.0105915,.000199,.0209746,.0220615,,.024361,.0223496,,.0191214,,,,,,.0248649,,.0094093,,.01069,.0291268,,.0218513,,,,
1991m8,1991,8,1991,,,,,.013607,.0063796,,,.0027961,,,,.0376811,,.0291704,-.0093435,.007869,-.0252152,,,,.0874613,,,.0214679,.0125213,.0033942,.016267,.0212721,.0022974,.0130149,.0203907,.0220481,,.0246477,.0215902,,.064851,,,,,,.0303352,,.005087,,.0206846,.0188218,,.0175452,,,,,,,,,.0090176,.0017902,,,-.0017934,,,,.0330916,,.0245809,-.013933,.0032795,-.0298047,,,,.0828718,,,.0168785,.0079318,-.0011952,.0116775,.0166827,-.0022921,.0084255,.0158012,.0174587,,.0200583,.0170008,,.0602615,,,,,,.0257457,,.0004976,,.0160951,.0142323,,.0129557,,,,
1991m9,1991,9,1991,,,,,.0189199,.0109399,,,.019018,,,,.022055,,-.0048116,.0358497,-.0003,.0030952,,,,-.0126801,,,.0421012,.0146915,.0140015,.0063796,.0307668,.0577027,.0174469,.022935,.0236755,,.0259893,.0237282,,.0578915,,,,,,-.0025031,,.0200967,,.0130149,.0170538,,.0083649,,,,,,,,,.0143304,.0063505,,,.0144286,,,,.0174655,,-.009401,.0312602,-.0048895,-.0014942,,,,-.0172695,,,.0375117,.0101021,.0094121,.0017902,.0261774,.0531133,.0128575,.0183455,.0190861,,.0213999,.0191388,,.053302,,,,,,-.0070926,,.0155072,,.0084255,.0124643,,.0037755,,,,
1991m10,1991,10,1991,,,,,.0199987,.0140015,,,.0096533,,,,.0377774,,.0760347,-.0059175,.0036932,.001399,,,,-.0001,,,.0115332,.0231304,.0079682,.0038924,-.0009555,.0124028,.0060815,.0181346,.0208589,,.0227199,.0191436,,.0230327,,,,,,.0235212,,-.005113,,.0121262,.0365248,,.022544,,,,,,,,,.0158075,.0098103,,,.0054621,,,,.0335862,,.0718435,-.0101087,-.000498,-.0027922,,,,-.0042912,,,.007342,.0189392,.003777,-.0002988,-.0051467,.0082116,.0018903,.0139434,.0166677,,.0185287,.0149524,,.0188415,,,,,,.01933,,-.0093043,,.007935,.0323336,,.0183528,,,,
