Date,SP500,USD,BOND,CREDIT,DVIX
Feb-90,0.013381,0.0103,0.004716561,1.67,-3.37
Mar-90,0.026588,0.0175,0.003277236,1.62,-2.26
Apr-90,-0.024504,-0.0061,-0.00953474,1.52,-0.21
May-90,0.097419,-0.0313,0.029860059,1.65,-2.15
Jun-90,-0.006754,-0.0311,0.017396573,1.74,-1.87
Jul-90,-0.004454,-0.0258,0.013270949,1.72,5.61
Aug-90,-0.090801,-0.042,-0.018974058,1.66,8.79
Sep-90,-0.048959,0.0503,0.007359863,1.74,-0.79
Oct-90,-0.003597,0.0637,0.012998046,2.02,0.93
Nov-90,0.064561,0.0309,0.021720899,2.23,-7.88
Dec-90,0.027987,0.0302,0.017237134,2.36,4.22
Jan-91,0.045001,-0.0053,0.010973937,2.36,-5.47
Feb-91,0.071565,0.0112,0.008859446,2.21,0.32
Mar-91,0.024354,-0.0157,0.011787975,1.98,-4.35
Apr-91,0.002268,-0.0301,0.011728829,1.90,1.36
May-91,0.04293,-0.0108,0.007883144,1.80,-2.31
Jun-91,-0.045357,0.0613,-0.003067249,1.68,3.62
Jul-91,0.046526,0.0179,0.014383509,1.62,-4.37
Aug-91,0.023885,-0.0222,0.026690931,1.75,-0.72
Sep-91,-0.016861,-0.0054,0.023633678,1.86,1.39
Oct-91,0.013458,0.0216,0.007575758,1.96,-0.37
Nov-91,-0.040214,0.0076,0.008234873,2.04,4.78
Dec-91,0.114089,0.0107,0.038210227,2.17,-0.95
Jan-92,-0.018348,-0.0153,-0.016486523,2.10,-1.91
Feb-92,0.012865,-0.0135,0.005564443,1.89,-0.72
Mar-92,-0.01947,-0.0116,-6.91706E-05,1.71,-0.5
Apr-92,0.028614,-0.014,0.005118982,1.73,-0.65
May-92,0.00485,0.0033,0.02092223,1.74,-1.67
Jun-92,-0.01503,-0.0297,0.01496562,1.79,-0.51
Jul-92,0.040924,0.0031,0.027032412,1.99,-0.18
Aug-92,-0.020615,-0.0039,0.008859859,2.07,0.41
Sep-92,0.01134,-0.0193,0.0125,2.20,0.7
Oct-92,0.004796,-0.0253,-0.012598924,2.25,1.87
Nov-92,0.033794,0.0398,0.001602975,2.08,-3.14
Dec-92,0.01338,-0.0056,0.016644261,2.04,-0.44
Jan-93,0.007282,-0.0074,0.021850009,2.07,-0.15
Feb-93,0.013526,-0.024,0.021013064,2.13,0.74
Mar-93,0.021202,-0.0447,0.004888647,2.17,-0.63
Apr-93,-0.024519,-0.0019,0.006546547,2.17,-0.11
May-93,0.026259,0.0092,0.000656364,2.18,1.05
Jun-93,0.003466,-0.0114,0.022719141,2.11,-2.21
Jul-93,-0.004593,-0.0005,0.00682176,2.13,0.47
Aug-93,0.037431,0.048,0.026754691,1.92,0.12
Sep-93,-0.007582,-0.0137,0.006260575,1.98,1.14
Oct-93,0.019884,-0.0085,0.005100611,1.98,-1.53
Nov-93,-0.008655,0.0197,-0.014722284,1.94,2.3
Dec-93,0.012643,-0.0063,0.005490152,1.91,-2.1
Jan-94,0.033429,0.0306,0.01598649,1.90,-1.03
Feb-94,-0.027161,-0.0127,-0.02482132,1.79,4.24
Mar-94,-0.043456,0.0014,-0.026418953,1.65,5.58
Apr-94,0.012817,0.0178,-0.010329132,1.55,-6.68
May-94,0.016309,-0.002,-0.002240698,1.44,-0.74
Jun-94,-0.024762,-0.0017,-0.002600319,1.55,1.94
Jul-94,0.032714,-0.0216,0.021923328,1.51,-3.84
Aug-94,0.041341,0.0068,-0.000869716,1.50,0.84
Sep-94,-0.02394,0.016,-0.019208449,1.52,2.31
Oct-94,0.022619,-0.005,-0.003254245,1.46,0.28
Nov-94,-0.036248,0.0069,0.000178084,1.36,1.39
Dec-94,0.014955,-0.0002,0.010505074,1.29,-2.75
Jan-95,0.026,0.0576,0.020556795,1.30,-1.24
Feb-95,0.039228,0.0213,0.024804328,1.38,-0.21
Mar-95,0.029334,-0.0045,0.01095075,1.50,1.62
Apr-95,0.029395,0.0268,0.015164982,1.54,-1.62
May-95,0.039809,-0.023,0.049138167,1.57,1.1
Jun-95,0.024155,0.0066,0.008866635,1.73,-1.47
Jul-95,0.033405,0.043,-0.006979269,1.76,2.11
Aug-95,0.003495,-0.005,0.016034985,1.70,-1.97
Sep-95,0.042102,-0.021,0.011938922,1.74,1.22
Oct-95,-0.003442,-0.0157,0.015747633,1.71,1.09
Nov-95,0.044029,0.0253,0.017846461,1.75,-2.25
Dec-95,0.017643,0.018,0.016945832,1.78,0.94
Jan-96,0.034861,0.0111,0.004767867,1.81,0.01
Feb-96,0.010087,-0.0091,-0.026218665,1.82,4.51
Mar-96,0.009585,0.0161,-0.007727899,1.77,1.84
Apr-96,0.015133,-0.0176,-0.009375465,1.68,-3.05
May-96,0.025257,0.0084,-0.001001502,1.56,0.24
Jun-96,0.004128,0.0055,0.014135338,1.49,-2.39
Jul-96,-0.044441,0.0011,0.001631079,1.49,5.78
Aug-96,0.021928,-0.0095,-0.003404885,1.54,-2.45
Sep-96,0.056035,-0.041,0.019954446,1.51,-0.06
Oct-96,0.026798,-0.025,0.026894509,1.54,1.16
Nov-96,0.076455,0.0273,0.021651775,1.58,-0.97
Dec-96,-0.019815,-0.0231,-0.013835547,1.59,3.78
Jan-97,0.062779,0.0221,0.000516141,1.52,-1.45
Feb-97,0.007752,0.0276,0.001594522,1.52,1.63
Mar-97,-0.041653,0.0125,-0.012314464,1.49,1.04
Apr-97,0.060274,0.0097,0.01668721,1.45,-2.08
May-97,0.061401,0.0161,0.008486431,1.49,-0.87
Jun-97,0.044103,0.0002,0.014980581,1.53,2.34
Jul-97,0.080388,-0.0292,0.036033163,1.53,-0.05
Aug-97,-0.05497,0.0032,-0.014070263,1.52,3.28
Sep-97,0.053886,-0.0166,0.018017214,1.50,-1.85
Oct-97,-0.032605,0.0074,0.015288912,1.54,12.18
Nov-97,0.046321,0.0301,0.00293407,1.54,-7.66
Dec-97,0.017147,-0.0037,0.012261229,1.52,-3.42
Jan-98,0.011994,0.0339,0.015087764,1.65,-2.54
Feb-98,0.071956,0.0087,-0.001967845,1.68,-2.92
Mar-98,0.051336,-0.0068,0.005118094,1.67,5.67
Apr-98,0.011275,0.0459,0.004966818,1.69,-3.04
May-98,-0.017674,-0.0118,0.011504278,1.65,0.14
Jun-98,0.04097,-0.0194,0.008868815,1.64,-1.61
Jul-98,-0.010109,0.0262,0.000284889,1.69,5.09
Aug-98,-0.143124,0.0293,0.008584913,1.80,19.48
Sep-98,0.063176,0.0038,0.030779781,2.28,-3.33
Oct-98,0.080111,0.032,-0.008335942,2.65,-12.9
Nov-98,0.062165,-0.013,0.01251036,2.51,-2.04
Dec-98,0.059673,-0.0506,0.004560337,2.58,-1.59
Jan-99,0.0428,0.0114,0.00787646,2.57,1.83
Feb-99,-0.031935,0.0133,-0.024715122,2.39,1.63
Mar-99,0.038979,0.0503,0.006828768,2.30,-4.62
Apr-99,0.037559,-0.0143,0.0023915,2.29,1.81
May-99,-0.023162,0.0279,-0.014040989,2.18,0.32
Jun-99,0.054431,0.0047,-0.003133801,2.12,-4.3
Jul-99,-0.03022,-0.0197,-0.006287306,2.16,3.55
Aug-99,-0.004989,-0.0328,-0.001281435,2.22,-0.19
Sep-99,-0.028079,0.0037,0.011627907,2.29,0.96
Oct-99,0.064238,0.0104,0.004201348,2.27,-3.21
Nov-99,0.020822,0.0035,0.000434165,2.12,1.98
Dec-99,0.062579,0.0144,-0.004852645,1.91,0.46
Jan-00,-0.049606,0.0288,-0.004281637,1.67,0.31
Feb-00,-0.017459,-0.0109,0.008201943,1.77,-1.58
Mar-00,0.098492,-0.0018,0.012518758,2.11,0.74
Apr-00,-0.031585,-0.0307,-0.007410585,2.41,2.09
May-00,-0.022304,-0.0302,-0.00432237,2.46,-2.55
Jun-00,0.026219,-0.0479,0.022889617,2.39,-4.11
Jul-00,-0.012795,0.0108,0.011034376,2.29,1.2
Aug-00,0.062594,-0.0077,0.012669338,2.43,-3.9
Sep-00,-0.052088,0.0036,0.010438256,2.55,3.73
Oct-00,-0.00412,-0.0041,0.00462445,2.60,3.06
Nov-00,-0.078268,-0.003,0.017855817,2.56,6.02
Dec-00,0.00572,-0.0398,0.023450892,2.78,-2.8
Jan-01,0.032375,-0.0207,0.021523769,2.77,-4.83
Feb-01,-0.090952,-0.0033,0.013500314,2.77,6.33
Mar-01,-0.063706,-0.0032,0.006229993,2.96,0.29
Apr-01,0.077825,-0.0212,-0.005199425,2.93,-3.16
May-01,0.00687,-0.0418,0.007049034,2.68,-2.84
Jun-01,-0.024506,0.0193,0.005053437,2.69,-3.58
Jul-01,-0.009317,0.0213,0.024460676,2.73,2.56
Aug-01,-0.063435,0.0099,0.011474051,2.88,3.3
Sep-01,-0.080361,-0.0499,0.009507885,3.30,7.01
Oct-01,0.019542,-0.0034,0.022961255,3.34,1.63
Nov-01,0.078787,-0.028,-0.009556162,3.16,-9.72
Dec-01,0.009051,-0.0335,-0.004231176,2.97,-0.04
Jan-02,-0.014324,0.0018,0.006051827,2.83,-2.71
Feb-02,-0.019481,0,0.01103894,2.98,0.5
Mar-02,0.037572,0.0061,-0.018767011,2.82,-4.19
Apr-02,-0.061001,0.031,0.016061925,2.82,4.51
May-02,-0.0078,-0.0187,0.014538298,2.92,-1.93
Jun-02,-0.071349,0.0002,0.008197491,3.02,5.42
Jul-02,-0.073987,0.0125,0.013282438,3.24,6.63
Aug-02,0.007061,-0.0128,0.021193838,3.32,0.61
Sep-02,-0.109019,-0.0163,0.02624239,3.53,7.05
Oct-02,0.088599,-0.0289,-0.005757204,3.79,-8.55
Nov-02,0.059019,-0.0372,-0.001881191,3.57,-3.64
Dec-02,-0.058834,-0.01,0.027505374,3.42,1.12
Jan-03,-0.026579,0.0326,0.000372589,3.30,2.55
Feb-03,-0.015246,-0.0135,0.018307357,3.15,-1.54
Mar-03,0.010308,0.0187,0.000844048,3.14,-0.48
Apr-03,0.082774,0.0044,0.006549911,2.89,-7.94
May-03,0.053251,0.04,0.024967882,2.81,-1.74
Jun-03,0.012816,0.0134,-0.001634877,2.86,0.05
Jul-03,0.017932,0.0028,-0.036490175,2.64,-0.03
Aug-03,0.019597,-0.0189,0.003965669,2.57,-0.86
Sep-03,-0.010737,0.0207,0.029568603,2.52,4.09
Oct-03,0.05556,0.0065,-0.011564495,2.44,-6.62
Nov-03,0.009259,0.0176,0.000942638,2.36,0.22
Dec-03,0.05178,-0.006,0.009334404,2.33,1.99
Jan-04,0.019078,-0.0236,0.008315038,2.29,-1.68
Feb-04,0.014403,0.0143,0.010831995,2.18,-2.08
Mar-04,-0.014982,-0.0077,0.00931585,2.29,2.19
Apr-04,-0.015584,-0.0393,-0.027396164,2.11,0.45
May-04,0.013629,-0.0143,-0.005540318,2.03,-1.69
Jun-04,0.019488,0.003,0.003585416,2.05,-1.16
Jul-04,-0.032954,0.0022,0.009783445,2.12,0.98
Aug-04,0.003807,-0.0008,0.020166558,2.18,-0.03
Sep-04,0.010817,0.0078,0.003201281,2.14,-1.95
Oct-04,0.014973,-0.0067,0.00842973,2.11,2.93
Nov-04,0.040559,-0.0266,-0.010943516,2.01,-3.03
Dec-04,0.033734,0.007,0.009998134,1.92,0.05
Jan-05,-0.023824,0.012,0.006414656,1.80,-0.47
Feb-05,0.021152,-0.011,-0.00744918,1.65,-0.74
Mar-05,-0.01724,-0.0101,-0.006183769,1.56,1.94
Apr-05,-0.018926,-0.0165,0.016140612,1.71,1.29
May-05,0.031994,0.0117,0.011278589,1.86,-2.02
Jun-05,0.001717,-0.0068,0.006572648,1.86,-1.25
Jul-05,0.037364,-0.0126,-0.01146559,1.78,-0.47
Aug-05,-0.009159,0.0011,0.014537227,1.70,1.03
Sep-05,0.008067,-0.0388,-0.012380806,1.83,-0.68
Oct-05,-0.015673,-0.0149,-0.007916115,1.83,3.4
Nov-05,0.038289,-0.0038,0.005284638,1.86,-3.26
Dec-05,-0.00006,0.007,0.008926248,1.85,0.01
Jan-06,0.026426,-0.0185,-0.001573422,1.82,0.88
Feb-06,0.002425,-0.0203,0.00237677,1.70,-0.61
Mar-06,0.012909,-0.0214,-0.009252577,1.69,-0.95
Apr-06,0.012064,0.0076,-0.003043625,1.69,0.2
May-06,-0.028319,0.0032,0.000287026,1.64,4.85
Jun-06,0.001587,-0.0021,0.001721664,1.67,-3.36
Jul-06,0.005571,0.0085,0.013515273,1.67,1.87
Aug-06,0.02415,0.0556,0.016212744,1.71,-2.64
Sep-06,0.026487,0.024,0.009405578,1.71,-0.33
Oct-06,0.032514,0.088,0.007213887,1.70,-0.88
Nov-06,0.018385,0.0042,0.011912163,1.61,-0.19
Dec-06,0.01377,-0.0525,-0.006414352,1.65,0.65
Jan-07,0.015317,0.0525,-0.000148408,1.58,-1.14
Feb-07,-0.019288,0.0195,0.016723153,1.55,5
Mar-07,0.010894,-0.0256,-0.0030901,1.70,-0.78
Apr-07,0.043991,-0.0129,0.006907156,1.70,-0.42
May-07,0.034459,-0.0631,-0.008580778,1.64,-1.17
Jun-07,-0.01662,0.0125,-0.002836116,1.59,3.18
Jul-07,-0.031197,-0.0245,0.004266274,1.65,7.29
Aug-07,0.015094,-0.0029,0.010400645,1.98,-0.14
Sep-07,0.037468,-0.0174,0.005871693,2.07,-5.38
Oct-07,0.01736,-0.0051,0.007302777,1.95,0.53
Nov-07,-0.041218,-0.02,0.010016217,2.25,4.34
Dec-07,-0.006126,0.0438,0.003258406,2.55,-0.37
Jan-08,-0.061166,0.0183,0.019204519,2.80,3.7
Feb-08,-0.031419,0.0099,0.003486815,3.09,0.34
Mar-08,-0.0034,0.0106,-0.013300504,3.38,-0.93
Apr-08,0.048629,0.0086,0.00291518,3.29,-4.82
May-08,0.012986,0.0571,-0.011650079,3.05,-2.96
Jun-08,-0.082819,-0.0045,-0.005552549,2.97,6.12
Jul-08,-0.007306,-0.0535,-0.006104053,3.15,-1.01
Aug-08,0.014955,0.0195,0.005498822,3.26,-2.29
Sep-08,-0.085467,-0.0518,-0.057741477,3.63,18.74
Oct-08,-0.166981,-0.0187,-0.031883621,5.06,20.5
Nov-08,-0.073512,0.0492,0.043600125,5.69,-4.61
Dec-08,0.011995,-0.0244,0.0535661,6.01,-15.28
Jan-09,-0.082615,-0.018,-0.017065571,5.63,4.84
Feb-09,-0.103584,-0.0121,-0.011790697,5.21,1.51
Mar-09,0.087634,-0.0111,-0.008942457,5.60,-2.21
Apr-09,0.09423,-0.0389,0.017433307,5.46,-7.64
May-09,0.05464,0.0217,0.026605615,4.77,-7.58
Jun-09,0.002476,-0.0008,0.018826733,3.77,-2.57
Jul-09,0.074482,-0.008,0.029768899,3.53,-0.43
Aug-09,0.034751,0.0018,0.016065156,2.99,0.09
Sep-09,0.036534,0.0662,0.01266213,2.91,-0.4
Oct-09,-0.018259,-0.035,0.007937198,2.90,5.08
Nov-09,0.060257,0.0286,0.011585511,2.92,-6.18
Dec-09,0.018983,0.0259,-0.013820167,2.78,-2.83
Jan-10,-0.035751,-0.0137,0.014035467,2.51,2.94
Feb-10,0.030426,-0.0079,0.004329374,2.65,-5.12
Mar-10,0.061014,0.0044,0.002123503,2.55,-1.91
Apr-10,0.015977,-0.0037,0.015405153,2.41,4.46
May-10,-0.080111,0.0543,-0.00302594,2.63,10.02
Jun-10,-0.053525,-0.0166,0.017980491,3.03,2.47
Jul-10,0.070451,0.0117,0.016655357,3.00,-11.04
Aug-10,-0.045434,-0.018,0.019375847,2.96,2.55
Sep-10,0.090383,-0.0147,0.003809448,3.01,-2.35
Oct-10,0.038726,-0.0005,0.001344059,3.18,-2.5
Nov-10,-0.000051,0.0021,-0.009849786,3.16,2.34
Dec-10,0.067054,-0.0036,-0.007455843,2.81,-5.79
Jan-11,0.023349,-0.008,-0.000783321,2.69,1.78
Feb-11,0.032508,0.035,0.004784016,2.57,-1.18
Mar-11,0.000625,0.0143,-0.001100286,2.62,-0.61
Apr-11,0.029441,-0.0164,0.015280782,2.57,-2.99
May-11,-0.011313,0.0194,0.0121511,2.61,0.7
Jun-11,-0.016545,-0.0002,-0.007288885,2.75,1.07
Jul-11,-0.019828,-0.0221,0.019180556,2.76,8.73
Aug-11,-0.054322,0.0074,0.003505798,3.06,6.37
Sep-11,-0.070238,-0.0222,0.002245854,3.30,11.34
Oct-11,0.109023,-0.0007,0.012487312,3.22,-13
Nov-11,-0.002727,0.005,-0.018272959,3.12,-2.16
Dec-11,0.009427,-0.0058,0.019287462,3.27,-4.4
Jan-12,0.045206,0.0151,0.015425331,3.26,-3.96
Feb-12,0.04334,-0.0206,0.004039765,3.17,-1.01
Mar-12,0.032866,0.0066,-0.006841822,3.06,-2.93
Apr-12,-0.006034,-0.009,0.012340378,3.14,1.65
May-12,-0.05979,0.0109,0.009644998,3.27,6.91
Jun-12,0.041465,-0.0073,0.004000146,3.40,-6.98
Jul-12,0.014363,0.0214,0.026506813,3.35,1.85
Aug-12,0.022744,0.0155,0.000691195,3.23,-1.46
Sep-12,0.025079,0.0395,-0.000123975,3.12,-1.74
Oct-12,-0.017849,0.0113,0.009122148,2.84,2.87
Nov-12,0.00519,0.016,0.000175528,2.86,-2.73
Dec-12,0.008194,0.0253,-0.002544708,2.91,2.15
Jan-13,0.052243,0.048,-0.008515729,2.82,-3.74
Feb-13,0.013211,0.0034,0.007151476,2.86,1.23
Mar-13,0.037507,0.035,0.000563827,2.90,-2.81
Apr-13,0.019777,-0.04,0.013999683,2.83,0.82
May-13,0.022896,0.0241,-0.022715432,2.80,2.78
Jun-13,-0.013664,-0.0137,-0.021146533,2.89,0.56
Jul-13,0.050719,0.0186,0.004919759,2.74,-3.41
Aug-13,-0.029336,-0.0163,-0.006178304,2.69,3.56
Sep-13,0.031707,0.0066,0.00828895,2.66,-0.41
